Bus Name ,x,y
x6,42.67715679,-75.45787945
x065,42.67732539,-75.45700572
x7,42.67746072,-75.45624766
x075,42.67761305,-75.45543697
x8,42.67775847,-75.45460045
x9,42.67787679,-75.45342196
x10,42.67796404,-75.45231488
x11,42.67806165,-75.45112096
x0111,42.67802665,-75.45041319
x12,42.67839416,-75.4497014
x13,42.67871089,-75.44858526
x14,42.67889847,-75.44773735
x15,42.67897192,-75.44678584
x16,42.67905326,-75.44581488
x17,42.67911882,-75.44497166
x18,42.67908653,-75.44408351
x19,42.67916294,-75.44324465
x0192,42.67992112,-75.44356149
x20,42.67960587,-75.44244234
x21,42.6801146,-75.44154949
x22,42.68030735,-75.44092957
x23,42.6803633,-75.43950498
x24,42.68022207,-75.43840058
x25,42.68022083,-75.43740816
x26,42.68021911,-75.43618139
x27,42.6800658,-75.43516383
x28,42.67993862,-75.434273
x29,42.67980848,-75.4333178
x30,42.67967045,-75.43222982
x31,42.67954893,-75.43129776
x32,42.67943531,-75.43035194
x33,42.67943358,-75.4293602
x34,42.67924256,-75.42847775
xx1,42.67626252,-75.45920178
xx011,42.67548,-75.45984
xx012,42.67471,-75.46061
xx013,42.67435,-75.46046
xx0111,42.67614248,-75.45849469
xx2,42.67562878,-75.45786537
xx3,42.67496792,-75.45766421
xx4,42.67402851,-75.45650516
xx5,42.67321998,-75.45632411
xx6,42.67238161,-75.45612093
xx7,42.67141208,-75.4560465
xx071,42.6710539,-75.45626879
xx072,42.6706326,-75.45719951
xx073,42.67057196,-75.45790896
xx074,42.67113105,-75.45786001
xx8,42.67053449,-75.45596939
xx9,42.67022166,-75.45659803
xx10,42.6696273,-75.45773294
xxx1,42.67852431,-75.44300962
xxx2,42.67783981,-75.44309344
xxx3,42.67737494,-75.44357121
xxx4,42.67660244,-75.44415023
xxx041,42.67634534,-75.44496562
xxx5,42.67581193,-75.44439867
y1,42.68599948,-75.42832922
y015,42.68545358,-75.42826619
y2,42.68502894,-75.428234
y021,42.68503732,-75.42805027
y3,42.68407735,-75.42813979
y4,42.68312082,-75.42804591
y041,42.68333895,-75.42719297
y5,42.68233755,-75.42798288
y052,42.68132726,-75.42851396
y053,42.68152296,-75.42898066
y055,42.6810591,-75.42786654
y0555,42.68040865,-75.42783536
y055s,42.68098047,-75.42768851
y6,42.67983707,-75.42780418
y061,42.68001207,-75.42905644
y7,42.67934608,-75.42750411
y8,42.67931059,-75.42687815
y9,42.67914815,-75.42573251
y10,42.67882156,-75.42470858
y11,42.67807841,-75.42340066
y12,42.67759505,-75.42245016
y13,42.67714102,-75.42151138
y14,42.67682181,-75.42056389
y15,42.67699633,-75.41867126
y16,42.6768859,-75.41763224
y17,42.6767804,-75.41666832
y18,42.67638429,-75.41638501
z05,42.68457,-75.39187
z1,42.68383631,-75.39180323
z2,42.682847,-75.39172512
z3,42.68228062,-75.39189845
z031,42.68171447,-75.39205704
z4,42.68114315,-75.39226089
z5,42.68094843,-75.39136872
z6,42.68064182,-75.39199233
z7,42.68023341,-75.3929187
z8,42.67980626,-75.3939091
z9,42.6792746,-75.3947721
z10,42.67894382,-75.39537158
z11,42.6786155,-75.39595529
z12,42.67822261,-75.39669391
z13,42.67780802,-75.39751131
z0131,42.67785608,-75.39788783
z0132,42.67835324,-75.39902475
z14,42.67752382,-75.39792303
m1,42.68466073,-75.37459385
m2,42.68504151,-75.3746438
m3,42.68534514,-75.37467733
